,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,title_artist_id,isrc_track_id,spotify_track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,4/26/2024,QM24S2402528,1,725.4,"390,470,936","30,716","196,631,588",92.0,"84,274,754","1,713,126","5,767,700","651,565,900","5,332,281,936","150,597,040",210.0,"40,975",684,62.0,"17,598,718",114.0,"18,004,655","22,931","4,818,457","2,669,262",,0,5AJ9hqTS2wcFQCELCFRO7A,,5AJ9hqTS2wcFQCELCFRO7A,0.852,0.697,1.0,-5.52,0.0,0.0439,0.0973,0.00037,0.0678,0.919,138.029,audio_features,5AJ9hqTS2wcFQCELCFRO7A,spotify:track:5AJ9hqTS2wcFQCELCFRO7A,https://api.spotify.com/v1/tracks/5AJ9hqTS2wcFQCELCFRO7A,https://api.spotify.com/v1/audio-analysis/5AJ9hqTS2wcFQCELCFRO7A,155152.0,4.0
1,Not Like Us,Not Like Us,Kendrick Lamar,5/4/2024,USUG12400910,2,545.9,"323,703,884","28,113","174,597,137",92.0,"116,347,040","3,486,739","674,700","35,223,547","208,339,025","156,380,351",188.0,"40,778",3,67.0,"10,422,430",111.0,"7,780,028","28,444","6,623,075","1,118,279",,1,6AI3ezQ4o3HUoP6Dhudph3,,6AI3ezQ4o3HUoP6Dhudph3,0.898,0.472,1.0,-7.001,1.0,0.0776,0.0107,0.0,0.141,0.214,101.061,audio_features,6AI3ezQ4o3HUoP6Dhudph3,spotify:track:6AI3ezQ4o3HUoP6Dhudph3,https://api.spotify.com/v1/tracks/6AI3ezQ4o3HUoP6Dhudph3,https://api.spotify.com/v1/audio-analysis/6AI3ezQ4o3HUoP6Dhudph3,274192.0,4.0
2,i like the way you kiss me,I like the way you kiss me,Artemas,3/19/2024,QZJ842400387,3,538.4,"601,309,283","54,331","211,607,669",92.0,"122,599,116","2,228,730","3,025,400","275,154,237","3,369,120,610","373,784,955",190.0,"74,333",536,136.0,"36,321,847",172.0,"5,022,621","5,639","7,208,651","5,285,340",,0,2GxrNKugF82CnoRFbQfzPf,,2GxrNKugF82CnoRFbQfzPf,0.599,0.946,11.0,-4.263,1.0,0.0447,0.000938,0.0106,0.0826,0.747,151.647,audio_features,2GxrNKugF82CnoRFbQfzPf,spotify:track:2GxrNKugF82CnoRFbQfzPf,https://api.spotify.com/v1/tracks/2GxrNKugF82CnoRFbQfzPf,https://api.spotify.com/v1/audio-analysis/2GxrNKugF82CnoRFbQfzPf,142515.0,4.0
3,Flowers,Flowers - Single,Miley Cyrus,1/12/2023,USSM12209777,4,444.9,"2,031,280,633","269,802","136,569,078",85.0,"1,096,100,899","10,629,796","7,189,811","1,078,757,968","14,603,725,994","3,351,188,582",394.0,"1,474,799","2,182",264.0,"24,684,248",210.0,"190,260,277","203,384",,"11,822,942",,0,7DSAEUvxU8FajXtRloy8M0,,7DSAEUvxU8FajXtRloy8M0,0.706,0.691,0.0,-4.775,1.0,0.0633,0.0584,6.99e-05,0.0232,0.632,118.048,audio_features,7DSAEUvxU8FajXtRloy8M0,spotify:track:7DSAEUvxU8FajXtRloy8M0,https://api.spotify.com/v1/tracks/7DSAEUvxU8FajXtRloy8M0,https://api.spotify.com/v1/audio-analysis/7DSAEUvxU8FajXtRloy8M0,200600.0,4.0
4,Houdini,Houdini,Eminem,5/31/2024,USUG12403398,5,423.3,"107,034,922","7,223","151,469,874",88.0,"77,373,957","3,670,188","16,400",,,"112,763,851",182.0,"12,185",1,82.0,"17,660,624",105.0,"4,493,884","7,006","207,179","457,017",,1,2HYFX63wP3otVIvopRS99Z,,2HYFX63wP3otVIvopRS99Z,0.936,0.887,9.0,-2.76,0.0,0.0683,0.0292,1.88e-06,0.0582,0.889,127.003,audio_features,2HYFX63wP3otVIvopRS99Z,spotify:track:2HYFX63wP3otVIvopRS99Z,https://api.spotify.com/v1/tracks/2HYFX63wP3otVIvopRS99Z,https://api.spotify.com/v1/audio-analysis/2HYFX63wP3otVIvopRS99Z,227239.0,4.0
5,Lovin On Me,Lovin On Me,Jack Harlow,11/10/2023,USAT22311371,6,410.1,"670,665,438","105,892","175,421,034",83.0,"131,148,091","1,392,593","4,202,367","214,943,489","2,938,686,633","2,867,222,632",138.0,"522,042","4,654",86.0,"17,167,254",152.0,"138,529,362","50,982","9,438,601","4,517,131",,1,4xhsWYTOGcal8zt0J161CU,,4xhsWYTOGcal8zt0J161CU,0.943,0.558,2.0,-4.911,1.0,0.0568,0.0026,2.19e-06,0.0937,0.606,104.983,audio_features,4xhsWYTOGcal8zt0J161CU,spotify:track:4xhsWYTOGcal8zt0J161CU,https://api.spotify.com/v1/tracks/4xhsWYTOGcal8zt0J161CU,https://api.spotify.com/v1/audio-analysis/4xhsWYTOGcal8zt0J161CU,138411.0,4.0
6,Beautiful Things,Beautiful Things,Benson Boone,1/18/2024,USWB12307016,7,407.2,"900,158,751","73,118","201,585,714",86.0,"308,723,145","4,120,760",,"29,584,940","534,915,313","4,601,579,812",280.0,"383,478",429,168.0,"48,197,850",154.0,"65,447,476","57,372",,"9,990,302",,0,3xkHsmpQCBMytMJNiDf3Ii,,3xkHsmpQCBMytMJNiDf3Ii,0.472,0.471,10.0,-5.692,1.0,0.0603,0.151,0.0,0.14,0.219,105.029,audio_features,3xkHsmpQCBMytMJNiDf3Ii,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,https://api.spotify.com/v1/tracks/3xkHsmpQCBMytMJNiDf3Ii,https://api.spotify.com/v1/audio-analysis/3xkHsmpQCBMytMJNiDf3Ii,180304.0,3.0
7,Gata Only,Gata Only,FloyyMenor,2/2/2024,QZL382406049,8,375.8,"675,079,153","40,094","211,236,940",92.0,"228,382,568","1,439,495","3,500,000","338,546,668","3,804,584,163","2,112,581,620",160.0,"17,221",30,87.0,"33,245,595",53.0,"3,372,428","5,762",,"6,063,523",,1,6XjDF6nds4DE2BBbagZol6,,6XjDF6nds4DE2BBbagZol6,0.791,0.499,8.0,-8.472,0.0,0.0509,0.446,2.41e-05,0.0899,0.669,99.986,audio_features,6XjDF6nds4DE2BBbagZol6,spotify:track:6XjDF6nds4DE2BBbagZol6,https://api.spotify.com/v1/tracks/6XjDF6nds4DE2BBbagZol6,https://api.spotify.com/v1/audio-analysis/6XjDF6nds4DE2BBbagZol6,222000.0,4.0
8,Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,6/9/2024,TCJPA2463708,9,355.7,"1,653,018,119",1,15,,,,,,,,,,,,,,,,,,,1,7B37eXepS3J9F86nFaVTtQ,,7B37eXepS3J9F86nFaVTtQ,0.739,0.937,0.0,-4.271,1.0,0.128,0.0768,0.0,0.191,0.91,130.025,audio_features,7B37eXepS3J9F86nFaVTtQ,spotify:track:7B37eXepS3J9F86nFaVTtQ,https://api.spotify.com/v1/tracks/7B37eXepS3J9F86nFaVTtQ,https://api.spotify.com/v1/audio-analysis/7B37eXepS3J9F86nFaVTtQ,198000.0,4.0
9,BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,5/23/2024,USSM12404354,10,330.6,"90,676,573","10,400","184,199,419",86.0,"32,735,244","988,682","325,800","121,574,500","974,656,200","174,706,874",191.0,"3,823",117,78.0,"10,800,098",92.0,"1,005,626",842,"3,679,709","666,302",,1,,7iabz12vAuVQYyekFIWJxD,7iabz12vAuVQYyekFIWJxD,0.882,0.764,11.0,-5.241,1.0,0.204,0.359,0.0,0.119,0.886,140.113,audio_features,7iabz12vAuVQYyekFIWJxD,spotify:track:7iabz12vAuVQYyekFIWJxD,https://api.spotify.com/v1/tracks/7iabz12vAuVQYyekFIWJxD,https://api.spotify.com/v1/audio-analysis/7iabz12vAuVQYyekFIWJxD,140733.0,4.0
